File Prefix,Total Words,Unique Words,Anxiety Words Count,Unique Anxiety Words,Anxiety Word %,Anxiety List Coverage %
football,4219,1434,7,6,0.17%,5.77%
coding,299,204,0,0,0.00%,0.00%
anxiety,18408,2492,674,73,3.66%,70.19%
meditation,17841,2596,352,42,1.97%,40.38%
gaming,5637,1658,11,7,0.20%,6.73%
surfing,7083,1811,7,4,0.10%,3.85%
gardening,4967,1451,5,4,0.10%,3.85%
programming,1937,904,3,2,0.15%,1.92%

Detailed Word Frequency Analysis

Word frequencies for football_posts.json:
Word,Count
the,199
of,91
a,84
in,84
and,77
to,70
s,65
on,54
is,48
for,47
he,43
with,42
fans,40
i,34
league,27
it,27
that,25
this,24
season,21
football,21
https,20
but,20
player,20
players,19
have,18
has,18
com,16
who,15
you,15
are,15
top,15
field,15
vote,15
they,14
game,14
at,14
as,14
premier,13
more,13
his,13
man,13
be,13
other,13
my,13
pitch,12
their,12
just,12
only,12
goals,12
your,12

Anxiety-related word frequencies for football_posts.json:
Word,Count
worry,2
social,1
hospital,1
muscle,1
group,1
health,1

Word frequencies for coding_posts.json:
Word,Count
to,10
a,9
for,7
and,7
with,6
i,6
ai,5
how,5
in,5
the,4
of,4
code,4
your,4
it,4
building,3
guide,3
better,3
that,3
you,3
why,2
real,2
s,2
backend,2
developers,2
program,2
writing,2
react,2
java,2
should,2
programmer,2
js,2
project,2
designed,2
would,2
vscode,2
theme,2
coding,2
free,2

Anxiety-related word frequencies for coding_posts.json:
Word,Count

Word frequencies for anxiety_posts.json:
Word,Count
i,1167
and,561
to,503
the,421
a,365
it,356
my,353
of,282
that,211
in,194
t,191
anxiety,185
is,181
this,171
have,169
me,168
but,164
was,158
for,155
m,149
you,144
s,140
with,133
so,132
like,128
just,126
or,115
feel,112
can,112
on,101
if,97
not,90
do,86
what,81
at,81
all,79
about,75
ve,70
get,70
had,69
your,68
how,67
now,65
when,65
don,64
know,64
as,63
they,62
life,62
going,62

Anxiety-related word frequencies for anxiety_posts.json:
Word,Count
anxiety,185
panic,60
attack,32
anxious,28
fear,24
heart,21
symptoms,20
brain,19
doctor,15
therapy,15
medication,14
scared,14
chest,13
sleep,13
health,12
tired,11
xanax,10
stomach,10
nausea,9
worry,9
social,8
mental,8
reassurance,6
er,5
meditation,5
hospital,5
zoloft,4
withdrawal,4
breathing,4
nervous,4
prozac,4
stress,4
buspar,3
dose,3
dread,3
ibs,3
palpitations,3
trigger,3
muscle,3
overthinking,3
coping,3
terror,3
depression,3
psychologist,3
disorder,3
ssri,2
shaking,2
sweating,2
headache,2
lightheaded,2
catastrophizing,2
emergency,2
ocd,2
agoraphobia,2
medicine,2
trembling,2
techniques,2
dizzy,1
addiction,1
hyperventilating,1
diagnosis,1
ptsd,1
